State,State_GeoNames_URI,State_GeoNames_Coords,State_GeoNames_Label,URI
Quebec,http://sws.geonames.org/6115047," 52.00017, -71.99907",Quebec,http://vocab.getty.edu/tgn/7005804
Rhode Island,http://sws.geonames.org/5224323," 41.75038, -71.49978",Rhode Island,http://vocab.getty.edu/tgn/7007711
Rhône-Alpes,http://sws.geonames.org/2983751," 45.5, 5.33333",Rhône-Alpes,http://vocab.getty.edu/tgn/7002897
Saint Petersburg,http://sws.geonames.org/498817," 59.93863, 30.31413",Saint-Petersburg,http://vocab.getty.edu/tgn/7018216
Salzburg,http://sws.geonames.org/2766824," 47.79941, 13.04399",Salzburg,http://vocab.getty.edu/tgn/7003027
San Luis Potosi,http://sws.geonames.org/3985606," 22.14982, -100.97916",San Luis Potosí,http://vocab.getty.edu/tgn/7005594
Santander,http://sws.geonames.org/3109718," 43.46472, -3.80444",Santander,http://vocab.getty.edu/tgn/1000754
Saskatchewan,http://sws.geonames.org/6141242," 54.0001, -106.00099",Saskatchewan,http://vocab.getty.edu/tgn/7005805
Saxony,http://sws.geonames.org/2842566," 51, 13.25",Saxony,http://vocab.getty.edu/tgn/7003685
Seoul,http://sws.geonames.org/1835848," 37.566, 126.9784",Seoul,http://vocab.getty.edu/tgn/7001325
Sicily,http://sws.geonames.org/4250031," 39.59005, -89.49121",Sicily,http://vocab.getty.edu/tgn/7003122
Sinaloa,http://sws.geonames.org/3983035," 25, -107.5",Sinaloa,http://vocab.getty.edu/tgn/7005595
Singapore,http://sws.geonames.org/1880252," 1.28967, 103.85007",Singapore,http://vocab.getty.edu/tgn/1000138
Sonora,http://sws.geonames.org/3982846," 29.66667, -110.5",Sonora,http://vocab.getty.edu/tgn/1001960
South Australia,http://sws.geonames.org/2061327," -30, 135",South Australia,http://vocab.getty.edu/tgn/7001831
South Carolina,http://sws.geonames.org/4597040," 34.00043, -81.00009",South Carolina,http://vocab.getty.edu/tgn/7007712
South Dakota,http://sws.geonames.org/5769223," 44.50026, -100.25069",South Dakota,http://vocab.getty.edu/tgn/7007713
South Holland,http://sws.geonames.org/4911934," 41.60087, -87.60699",South Holland,http://vocab.getty.edu/tgn/7003632
Styria,http://sws.geonames.org/2764581," 47.25, 15.16667",Styria,http://vocab.getty.edu/tgn/7003028
Sudeste,http://sws.geonames.org/8620821," 58.16417, 27.25028",Sudeste,http://vocab.getty.edu/tgn/7002457
Surrey,http://sws.geonames.org/6159906," 49.19967, -122.85262",Surrey,http://vocab.getty.edu/tgn/7005559
Taiwan,http://sws.geonames.org/1668284," 24, 121",Taiwan,http://vocab.getty.edu/tgn/1009319
Tamaulipas,http://sws.geonames.org/3516391," 24, -98.75",Tamaulipas,http://vocab.getty.edu/tgn/7005597
Tel Aviv,http://sws.geonames.org/293397," 32.08088, 34.78057",Tel Aviv,http://vocab.getty.edu/tgn/1000939
Tennessee,http://sws.geonames.org/4662168," 35.75035, -86.25027",Tennessee,http://vocab.getty.edu/tgn/7007825
Texas,http://sws.geonames.org/4736286," 31.25044, -99.25061",Texas,http://vocab.getty.edu/tgn/7007826
Thành Phố Hồ Chí Min,http://sws.geonames.org/1566083," 10.82302, 106.62965",Ho Chi Minh City,http://vocab.getty.edu/tgn/7001063
Trentino-Alto Adige,http://sws.geonames.org/3165244," 46.5, 11.33333",Trentino-Alto Adige,http://vocab.getty.edu/tgn/7003124
Tripoli,http://sws.geonames.org/2210247," 32.87519, 13.18746",Tripoli,http://vocab.getty.edu/tgn/7000623
Tuscany,http://sws.geonames.org/6170682," 51.12432, -114.24494",Tuscany,http://vocab.getty.edu/tgn/7009760
Umbria,http://sws.geonames.org/3165048," 43, 12.5",Umbria,http://vocab.getty.edu/tgn/7003125
Utah,http://sws.geonames.org/5549030," 39.25024, -111.75103",Utah,http://vocab.getty.edu/tgn/7007827
Uusimaa,http://sws.geonames.org/633203," 60.36667, 25.06667",Uusimaa,http://vocab.getty.edu/tgn/7594395
Veneto,http://sws.geonames.org/3164604," 45.5, 11.75",Veneto,http://vocab.getty.edu/tgn/7002997
Veracruz,http://sws.geonames.org/3514783," 19.18095, -96.1429",Veracruz,http://vocab.getty.edu/tgn/7005599
Vermont,http://sws.geonames.org/5242283," 44.00034, -72.74983",Vermont,http://vocab.getty.edu/tgn/7007828
Viangchan,http://sws.geonames.org/1904618," 18.08333, 102.66667",Vientiane,http://vocab.getty.edu/tgn/7018518
Vienna,http://sws.geonames.org/2761369," 48.20849, 16.37208",Vienna,http://vocab.getty.edu/tgn/7003030
Virginia,http://sws.geonames.org/3600316," 14, -88.38333",Virginia,http://vocab.getty.edu/tgn/7007919
Washington,http://sws.geonames.org/4140963," 38.89511, -77.03637",Washington,http://vocab.getty.edu/tgn/7007920
West Bengal,http://sws.geonames.org/1252881," 24, 88",West Bengal,http://vocab.getty.edu/tgn/1001977
Western Cape,http://sws.geonames.org/1085599," -34, 20",Province of the Western Cape,http://vocab.getty.edu/tgn/7017584
West Midlands,http://sws.geonames.org/2634343," 52.5, -1.96667",West Midlands,http://vocab.getty.edu/tgn/7029506
West Virginia,http://sws.geonames.org/4826850," 38.50038, -80.50009",West Virginia,http://vocab.getty.edu/tgn/7013961
Wisconsin,http://sws.geonames.org/5279468," 44.50024, -90.00041",Wisconsin,http://vocab.getty.edu/tgn/7007922
Wyoming,http://sws.geonames.org/5015618," 42.91336, -85.70531",Wyoming,http://vocab.getty.edu/tgn/7007923
Zhejiang,http://sws.geonames.org/9898779," 22.4147, 108.787",Zhejiang,http://vocab.getty.edu/tgn/7002076
Zulia,http://sws.geonames.org/3625035," 10, -72.16667",Zulia,http://vocab.getty.edu/tgn/1001985
Đồng Nai,,,,http://vocab.getty.edu/tgn/7001034
